2009-06-27 17:52:39 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 17:58:10 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 17:59:16 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:00:08 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:03:53 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:04:09 Debug: Notice (8): Undefined index:  filename in [APP\models\behaviors\fg_upload.php, line 48]
2009-06-27 18:04:09 Debug: Notice (8): Undefined index:  filename in [APP\models\behaviors\fg_upload.php, line 49]
2009-06-27 18:04:23 Debug: Notice (8): Undefined index:  filename in [APP\models\behaviors\fg_upload.php, line 48]
2009-06-27 18:04:23 Debug: Notice (8): Undefined index:  filename in [APP\models\behaviors\fg_upload.php, line 49]
2009-06-27 18:04:59 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:05:15 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:10:39 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:11:22 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:13:53 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:19:40 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:33:11 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:50:55 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-27 18:56:33 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\model\datasources\dbo_source.php, line 582]
2009-06-30 15:56:40 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 519]
2009-06-30 15:56:40 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-06-30 15:56:56 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 519]
2009-06-30 15:56:56 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-06-30 15:57:03 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 519]
2009-06-30 15:57:03 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-06-30 15:57:48 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 519]
2009-06-30 15:57:48 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-06-30 15:57:50 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 519]
2009-06-30 15:57:50 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-06-30 15:59:24 Debug: Notice (8): Undefined index:  Versions in [APP\views\images\index.ctp, line 8]
2009-06-30 15:59:27 Debug: Notice (8): Undefined index:  Versions in [APP\views\images\index.ctp, line 8]
2009-06-30 16:04:13 Debug: Notice (8): Undefined index:  baseDir in [APP\models\behaviors\fg_upload.php, line 153]
2009-06-30 16:06:14 Debug: Notice (8): Undefined index:  baseDir in [APP\models\behaviors\fg_upload.php, line 153]
2009-06-30 16:08:01 Debug: Notice (8): Undefined index:  Versions in [APP\views\images\index.ctp, line 8]
2009-06-30 16:08:21 Debug: Notice (8): Undefined index:  Versions in [APP\views\images\index.ctp, line 8]
2009-06-30 16:08:41 Debug: Notice (8): Undefined index:  Versions in [APP\views\images\index.ctp, line 8]
2009-07-01 19:16:41 Debug: Notice (8): Undefined variable: javascript in [APP\views\images\index.ctp, line 1]
2009-07-01 19:17:21 Debug: Notice (8): Undefined variable: form in [APP\views\images\index.ctp, line 10]
2009-07-16 14:28:13 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-07-16 14:28:13 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 521]
2009-07-16 14:31:31 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-07-16 14:31:31 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 521]
2009-07-16 14:31:43 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-07-16 14:31:43 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 521]
2009-07-16 14:33:30 Debug: Notice (8): Undefined variable: data in [APP\controllers\users_controller.php, line 41]
2009-07-16 14:33:30 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-07-16 14:33:30 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 521]
2009-07-16 14:33:54 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-07-16 14:33:54 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 521]
2009-07-16 14:35:49 Debug: Notice (8): Undefined offset:  1 in [CORE\cake\libs\view\helpers\html.php, line 520]
2009-07-16 14:35:49 Debug: Notice (8): Undefined offset:  0 in [CORE\cake\libs\view\helpers\html.php, line 521]
2009-07-16 15:13:07 Debug: Notice (8): Undefined index:  Email in [APP\views\users\index.ctp, line 22]
